year,stakeholder_id,stakeholder,interests,obligations,allocated_cash_cost_mln,attributed_receipts_mln,kpi_value,kpi_name,kpi_unit,affected_fuel_t,risks_borne,monetary_mission_loss,weights_used,plan_id,scenario_id,input_fingerprint
2035,operator,Оператор,Обслуживание и ликвидность,"Исполнить договоры, баланс и резерв",817.1921333727623,0.0,1.000000000000007,total_service,share,0.0,"Дефицит, переполнение, затраты ответа",not specified,False,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
2035,critical_consumers,Критические потребители,Непрерывность критических миссий,Предоставлять график; приоритет при дефиците,0.0,0.0,0.999999999999997,critical_service,share,2.4158453015843406e-13,Критический недоотпуск; денежная оценка отсутствует,not specified,False,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
2035,commercial_consumers,Коммерческие потребители,Доступность остаточного топлива,Признать приоритет критических потребителей,0.0,0.0,1.0000000000000475,noncritical_service,share,0.0,Первыми несут сокращение сервиса; выручка не задана,not specified,False,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
2035,fuel_suppliers,Поставщики топлива,Оплата заказов и TOP,Производство в рамках мощности и договора,0.0,588.1431542709597,1.0,annual_arrival_to_order_ratio,share,0.0,"Недопоставка; TOP защищает платеж, но не физический ресурс",not specified,False,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
2035,launch_providers,Поставщики запусков,Оплаченный график запусков,Соблюдать lead time; транспорт включен в цену топлива,0.0,228.3812665853831,1.0,on_time_accepted_to_order_ratio,share,0.0,Задержки и отклонение топлива; доля 30% — допущение учета,not specified,False,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
2035,financier,Финансирующая сторона,CAPEX и финансовая потребность,Финансировать до ввода; не обещать прибыль без выручки,360.0,0.0,360.0,annual_capex,mln_units CAPEX,0.0,Невозвратные инвестиции и дополнительная ликвидность,not specified,False,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
2036,operator,Оператор,Обслуживание и ликвидность,"Исполнить договоры, баланс и резерв",1131.4902073796693,0.0,1.0000000000000033,total_service,share,0.0,"Дефицит, переполнение, затраты ответа",not specified,False,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
2036,critical_consumers,Критические потребители,Непрерывность критических миссий,Предоставлять график; приоритет при дефиците,0.0,0.0,1.0000000000000067,critical_service,share,0.0,Критический недоотпуск; денежная оценка отсутствует,not specified,False,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
2036,commercial_consumers,Коммерческие потребители,Доступность остаточного топлива,Признать приоритет критических потребителей,0.0,0.0,0.9999999999999931,noncritical_service,share,2.4158453015843406e-13,Первыми несут сокращение сервиса; выручка не задана,not specified,False,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
2036,fuel_suppliers,Поставщики топлива,Оплата заказов и TOP,Производство в рамках мощности и договора,0.0,805.668914647011,0.9999999999999942,annual_arrival_to_order_ratio,share,0.0,"Недопоставка; TOP защищает платеж, но не физический ресурс",not specified,False,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
2036,launch_providers,Поставщики запусков,Оплаченный график запусков,Соблюдать lead time; транспорт включен в цену топлива,0.0,312.8484720758748,1.0,on_time_accepted_to_order_ratio,share,0.0,Задержки и отклонение топлива; доля 30% — допущение учета,not specified,False,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
2036,financier,Финансирующая сторона,CAPEX и финансовая потребность,Финансировать до ввода; не обещать прибыль без выручки,180.0,0.0,180.0,annual_capex,mln_units CAPEX,0.0,Невозвратные инвестиции и дополнительная ликвидность,not specified,False,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
2037,operator,Оператор,Обслуживание и ликвидность,"Исполнить договоры, баланс и резерв",1279.301303839366,0.0,1.000000000000008,total_service,share,0.0,"Дефицит, переполнение, затраты ответа",not specified,False,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
2037,critical_consumers,Критические потребители,Непрерывность критических миссий,Предоставлять график; приоритет при дефиците,0.0,0.0,1.0000000000000013,critical_service,share,0.0,Критический недоотпуск; денежная оценка отсутствует,not specified,False,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
2037,commercial_consumers,Коммерческие потребители,Доступность остаточного топлива,Признать приоритет критических потребителей,0.0,0.0,1.0000000000000242,noncritical_service,share,0.0,Первыми несут сокращение сервиса; выручка не задана,not specified,False,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
2037,fuel_suppliers,Поставщики топлива,Оплата заказов и TOP,Производство в рамках мощности и договора,0.0,910.0999999999973,0.9999999999999943,annual_arrival_to_order_ratio,share,0.0,"Недопоставка; TOP защищает платеж, но не физический ресурс",not specified,False,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
2037,launch_providers,Поставщики запусков,Оплаченный график запусков,Соблюдать lead time; транспорт включен в цену топлива,0.0,353.39999999999884,1.0,on_time_accepted_to_order_ratio,share,0.0,Задержки и отклонение топлива; доля 30% — допущение учета,not specified,False,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
2037,financier,Финансирующая сторона,CAPEX и финансовая потребность,Финансировать до ввода; не обещать прибыль без выручки,1250.0,0.0,1250.0,annual_capex,mln_units CAPEX,0.0,Невозвратные инвестиции и дополнительная ликвидность,not specified,False,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
2038,operator,Оператор,Обслуживание и ликвидность,"Исполнить договоры, баланс и резерв",2253.33781656596,0.0,1.0000000000000047,total_service,share,0.0,"Дефицит, переполнение, затраты ответа",not specified,False,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
2038,critical_consumers,Критические потребители,Непрерывность критических миссий,Предоставлять график; приоритет при дефиците,0.0,0.0,0.9999999999999941,critical_service,share,9.947598300641403e-13,Критический недоотпуск; денежная оценка отсутствует,not specified,False,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
2038,commercial_consumers,Коммерческие потребители,Доступность остаточного топлива,Признать приоритет критических потребителей,0.0,0.0,1.000000000000027,noncritical_service,share,0.0,Первыми несут сокращение сервиса; выручка не задана,not specified,False,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
2038,fuel_suppliers,Поставщики топлива,Оплата заказов и TOP,Производство в рамках мощности и договора,0.0,1676.6500000000003,0.9999999999999987,annual_arrival_to_order_ratio,share,0.0,"Недопоставка; TOP защищает платеж, но не физический ресурс",not specified,False,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
